parent_sked,parent_sked_part,in_a_group,db_table,ordering,db_name,xpath,irs_type,db_type,line_number,description,versions
IRS990,part_0,False,part_0,32,USAddrss_SttAbbrvtnCd,/IRS990/USAddress/StateAbbreviationCd,StateType,String(length=2), F, Address of principal officer - US; State,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_0,False,part_0,33,USAddrss_ZIPCd,/IRS990/USAddress/ZIPCd,ZIPCodeType,String(length=15), F, Address of principal officer - US; ZIP code,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_0,False,part_0,34,USAddrss_ZIPCd,/IRS990/USAddress/ZIPCode,ZIPCodeType,String(length=15), F, Address of principal officer - US; ZIP code,2013v3.0;2013v3.1;2013v4.0
IRS990,part_0,False,part_0,35,FrgnAddrss_AddrssLn1Txt,/IRS990/ForeignAddress/AddressLine1,StreetAddressType,String(length=35), F, Address of principal officer - Foreign; Address line 1,2013v3.0;2013v3.1;2013v4.0
IRS990,part_0,False,part_0,36,FrgnAddrss_AddrssLn1Txt,/IRS990/ForeignAddress/AddressLine1Txt,StreetAddressType,String(length=35), F, Address of principal officer - Foreign; Address line 1,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_0,False,part_0,37,FrgnAddrss_AddrssLn2Txt,/IRS990/ForeignAddress/AddressLine2,StreetAddressType,String(length=35), F, Address of principal officer - Foreign; Address line 2,2013v3.0;2013v3.1;2013v4.0
IRS990,part_0,False,part_0,38,FrgnAddrss_AddrssLn2Txt,/IRS990/ForeignAddress/AddressLine2Txt,StreetAddressType,String(length=35), F, Address of principal officer - Foreign; Address line 2,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_0,False,part_0,39,FrgnAddrss_CtyNm,/IRS990/ForeignAddress/City,,Text, F, Address of principal officer - Foreign; City,2013v3.0;2013v3.1;2013v4.0
IRS990,part_0,False,part_0,40,FrgnAddrss_CtyNm,/IRS990/ForeignAddress/CityNm,,Text, F, Address of principal officer - Foreign; City,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_0,False,part_0,41,FrgnAddrss_PrvncOrSttNm,/IRS990/ForeignAddress/ProvinceOrState,,Text, F, Address of principal officer - Foreign; Province or state,2013v3.0;2013v3.1;2013v4.0
IRS990,part_0,False,part_0,42,FrgnAddrss_PrvncOrSttNm,/IRS990/ForeignAddress/ProvinceOrStateNm,,Text, F, Address of principal officer - Foreign; Province or state,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_0,False,part_0,43,FrgnAddrss_CntryCd,/IRS990/ForeignAddress/Country,CountryType,String(length=2), F, Address of principal officer - Foreign; Country,2013v3.0;2013v3.1;2013v4.0
IRS990,part_0,False,part_0,44,FrgnAddrss_CntryCd,/IRS990/ForeignAddress/CountryCd,CountryType,String(length=2), F, Address of principal officer - Foreign; Country,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_0,False,part_0,45,FrgnAddrss_FrgnPstlCd,/IRS990/ForeignAddress/ForeignPostalCd,,Text, F, Address of principal officer - Foreign; Postal code,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_0,False,part_0,46,FrgnAddrss_FrgnPstlCd,/IRS990/ForeignAddress/PostalCode,,Text, F, Address of principal officer - Foreign; Postal code,2013v3.0;2013v3.1;2013v4.0
IRS990,part_0,False,part_0,47,Orgnztn501c3Ind,/IRS990/Organization501c3Ind,CheckboxType,String(length=1), I, Indicates a 501(c)(3) organization,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_0,False,part_0,48,Orgnztn501cInd,/IRS990/Organization501cInd,,Text, I, Indicates a 501(c) organization,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_0,False,part_0,49,Orgnztn49471NtPFInd,/IRS990/Organization4947a1NotPFInd,CheckboxType,String(length=1), I, Indicates a 4947(a)(1) organization,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_0,False,part_0,50,Orgnztn527Ind,/IRS990/Organization527Ind,CheckboxType,String(length=1), I, Indicates a 527 organization,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_0,False,part_0,51,LglDmclSttCd,/IRS990/LegalDomicileStateCd,StateType,String(length=2), M, State of legal domicile,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_0,False,part_0,52,LglDmclCntryCd,/IRS990/LegalDomicileCountryCd,CountryType,String(length=2), M, Country of legal domicile,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_i,False,part_i,1,ActvtyOrMssnDsc,/IRS990/ActivityOrMissionDesc,ShortExplanationType,Text, Part I Line 1, Activity or mission description,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_i,False,part_i,2,CntrctTrmntnInd,/IRS990/ContractTerminationInd,CheckboxType,String(length=1), Part I Line 2, Termination or contraction,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_i,False,part_i,3,VtngMmbrsGvrnngBdyCnt,/IRS990/VotingMembersGoverningBodyCnt,IntegerNNType,BigInteger, Part I Line 3, Number voting members governing body,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_i,False,part_i,4,VtngMmbrsIndpndntCnt,/IRS990/VotingMembersIndependentCnt,IntegerNNType,BigInteger, Part I Line 4, Number independent voting members,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_i,False,part_i,5,TtlEmplyCnt,/IRS990/TotalEmployeeCnt,IntegerNNType,BigInteger, Part I Line 5, total Number employees,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_i,False,part_i,6,TtlVlntrsCnt,/IRS990/TotalVolunteersCnt,IntegerNNType,BigInteger, Part I Line 6, Total number volunteers,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_i,False,part_i,7,TtlGrssUBIAmt,/IRS990/TotalGrossUBIAmt,USAmountType,BigInteger, Part I Line 7a, Total gross UBI,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_i,False,part_i,8,NtUnrltdBsTxblIncmAmt,/IRS990/NetUnrelatedBusTxblIncmAmt,USAmountType,BigInteger, Part I Line 7b, Net unrelated business taxable income,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_i,False,part_i,9,PYCntrbtnsGrntsAmt,/IRS990/PYContributionsGrantsAmt,USAmountType,BigInteger, Part I Line 8, Contributions and grants - prior year,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_i,False,part_i,10,CYCntrbtnsGrntsAmt,/IRS990/CYContributionsGrantsAmt,USAmountType,BigInteger, Part I Line 8, Contributions and grants - current year,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_i,False,part_i,11,PYPrgrmSrvcRvnAmt,/IRS990/PYProgramServiceRevenueAmt,USAmountType,BigInteger, Part I Line 9, Program service revenue - prior year,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_i,False,part_i,12,CYPrgrmSrvcRvnAmt,/IRS990/CYProgramServiceRevenueAmt,USAmountType,BigInteger, Part I Line 9, Program service revenue - current year,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_i,False,part_i,13,PYInvstmntIncmAmt,/IRS990/PYInvestmentIncomeAmt,USAmountType,BigInteger, Part I Line 10, Investment income - prior year,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_i,False,part_i,14,CYInvstmntIncmAmt,/IRS990/CYInvestmentIncomeAmt,USAmountType,BigInteger, Part I Line 10, Investment income - current year,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_i,False,part_i,15,PYOthrRvnAmt,/IRS990/PYOtherRevenueAmt,USAmountType,BigInteger, Part I Line 11, Other revenue - prior year,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_i,False,part_i,16,CYOthrRvnAmt,/IRS990/CYOtherRevenueAmt,USAmountType,BigInteger, Part I Line 11, Other revenue - current year,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_i,False,part_i,17,PYTtlRvnAmt,/IRS990/PYTotalRevenueAmt,USAmountType,BigInteger, Part I Line 12, Total revenue - prior year,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_i,False,part_i,18,CYTtlRvnAmt,/IRS990/CYTotalRevenueAmt,USAmountType,BigInteger, Part I Line 12, Total revenue - current year,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_i,False,part_i,19,PYGrntsAndSmlrPdAmt,/IRS990/PYGrantsAndSimilarPaidAmt,USAmountType,BigInteger, Part I Line 13, Grants and similar amounts - prior year,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_i,False,part_i,20,CYGrntsAndSmlrPdAmt,/IRS990/CYGrantsAndSimilarPaidAmt,USAmountType,BigInteger, Part I Line 13, Grants and similar amounts - current year,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_i,False,part_i,21,PYBnftsPdTMmbrsAmt,/IRS990/PYBenefitsPaidToMembersAmt,USAmountType,BigInteger, Part I Line 14, Benefits paid to members - prior year,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_i,False,part_i,22,CYBnftsPdTMmbrsAmt,/IRS990/CYBenefitsPaidToMembersAmt,USAmountType,BigInteger, Part I Line 14, Benefits paid to members - current year,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_i,False,part_i,23,PYSlrsCmpEmpBnftPdAmt,/IRS990/PYSalariesCompEmpBnftPaidAmt,USAmountType,BigInteger, Part I Line 15," Salaries, etc - prior year",2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_i,False,part_i,24,CYSlrsCmpEmpBnftPdAmt,/IRS990/CYSalariesCompEmpBnftPaidAmt,USAmountType,BigInteger, Part I Line 15," Salaries, etc - current year",2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_i,False,part_i,25,PYTtlPrfFndrsngExpnsAmt,/IRS990/PYTotalProfFndrsngExpnsAmt,USAmountType,BigInteger, Part I Line 16a, Total professional fundraising expense - prior year,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_i,False,part_i,26,CYTtlPrfFndrsngExpnsAmt,/IRS990/CYTotalProfFndrsngExpnsAmt,USAmountType,BigInteger, Part I Line 16a, Total professional fundraising expense - current year,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_i,False,part_i,27,CYTtlFndrsngExpnsAmt,/IRS990/CYTotalFundraisingExpenseAmt,USAmountType,BigInteger, Part I Line 16b, Total fundraising expense - current year,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_i,False,part_i,28,PYOthrExpnssAmt,/IRS990/PYOtherExpensesAmt,USAmountType,BigInteger, Part I Line 17, Other expenses - prior year,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_i,False,part_i,29,CYOthrExpnssAmt,/IRS990/CYOtherExpensesAmt,USAmountType,BigInteger, Part I Line 17, Other expenses - current year,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_i,False,part_i,30,PYTtlExpnssAmt,/IRS990/PYTotalExpensesAmt,USAmountType,BigInteger, Part I Line 18, Total Expenses - prior year,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_i,False,part_i,31,CYTtlExpnssAmt,/IRS990/CYTotalExpensesAmt,USAmountType,BigInteger, Part I Line 18, Total Expenses - current year,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_i,False,part_i,32,PYRvnsLssExpnssAmt,/IRS990/PYRevenuesLessExpensesAmt,USAmountType,BigInteger, Part I Line 19, Revenues less expenses - prior year,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_i,False,part_i,33,CYRvnsLssExpnssAmt,/IRS990/CYRevenuesLessExpensesAmt,USAmountType,BigInteger, Part I Line 19, Revenues less expenses - current year,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_i,False,part_i,34,TtlAsstsBOYAmt,/IRS990/TotalAssetsBOYAmt,USAmountType,BigInteger, Part I Line 20," Total Assets, BOY",2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_i,False,part_i,35,TtlAsstsEOYAmt,/IRS990/TotalAssetsEOYAmt,USAmountType,BigInteger, Part I Line 20," Total Assets, EOY",2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_i,False,part_i,36,TtlLbltsBOYAmt,/IRS990/TotalLiabilitiesBOYAmt,USAmountType,BigInteger, Part I Line 21," Total Liabilities, BOY",2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_i,False,part_i,37,TtlLbltsEOYAmt,/IRS990/TotalLiabilitiesEOYAmt,USAmountType,BigInteger, Part I Line 21," Total Liabilities, EOY",2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_i,False,part_i,38,NtAsstsOrFndBlncsBOYAmt,/IRS990/NetAssetsOrFundBalancesBOYAmt,USAmountType,BigInteger, Part I Line 22," Net Assets or Fund Balances, BOY",2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_i,False,part_i,39,NtAsstsOrFndBlncsEOYAmt,/IRS990/NetAssetsOrFundBalancesEOYAmt,USAmountType,BigInteger, Part I Line 22," Net Assets or Fund Balances, EOY",2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_iii,False,part_iii,1,InfInSkdOPrtIIIInd,/IRS990/InfoInScheduleOPartIIIInd,CheckboxType,String(length=1), Part III, Schedule O contains a response to a question in Part III,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_iii,False,part_iii,2,MssnDsc,/IRS990/MissionDesc,ShortExplanationType,Text, Part III Line 1, Mission description,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_iii,False,part_iii,3,SgnfcntNwPrgrmSrvcInd,/IRS990/SignificantNewProgramSrvcInd,BooleanType,String(length=5), Part III Line 2, Significant new program services?,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_iii,False,part_iii,4,SgnfcntChngInd,/IRS990/SignificantChangeInd,BooleanType,String(length=5), Part III Line 3, Significant change?,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_iii,False,part_iii,5,ActvtyCd,/IRS990/ActivityCd,IntegerNNType,BigInteger, Part III Line 4a, Activity code,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_iii,False,part_iii,6,ExpnsAmt,/IRS990/ExpenseAmt,USAmountType,BigInteger, Part III Line 4a, Expense,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_iii,False,part_iii,7,GrntAmt,/IRS990/GrantAmt,USAmountType,BigInteger, Part III Line 4a, Grants,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_iii,False,part_iii,8,RvnAmt,/IRS990/RevenueAmt,USAmountType,BigInteger, Part III Line 4a, Revenue,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_iii,False,part_iii,9,Dsc,/IRS990/Desc,ExplanationType,Text, Part III Line 4a, Description,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_iii,False,part_iii,10,PrgSrvcAccmActy2_ActvtyCd,/IRS990/ProgSrvcAccomActy2Grp/ActivityCd,IntegerNNType,BigInteger, Part III Line 4b; Part III, Second activity group; Activity code,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_iii,False,part_iii,11,PrgSrvcAccmActy2_ExpnsAmt,/IRS990/ProgSrvcAccomActy2Grp/ExpenseAmt,USAmountType,BigInteger, Part III Line 4b; Part III, Second activity group; Expense,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_iii,False,part_iii,12,PrgSrvcAccmActy2_GrntAmt,/IRS990/ProgSrvcAccomActy2Grp/GrantAmt,USAmountType,BigInteger, Part III Line 4b; Part III, Second activity group; Grants,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_iii,False,part_iii,13,PrgSrvcAccmActy2_RvnAmt,/IRS990/ProgSrvcAccomActy2Grp/RevenueAmt,USAmountType,BigInteger, Part III Line 4b; Part III, Second activity group; Revenue,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
